location_id,alertListId,alertTitle,alertDetail,alertDate,active
179165,97,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",2/4/21,TRUE
310692,98,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",3/4/21,TRUE
123853,99,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",4/4/21,TRUE
271003,100,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",5/4/21,TRUE
589268,101,"""New In""","""Covid19 Entry Requirements for Travellers to China""",6/4/21,TRUE
771208,102,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",7/4/21,TRUE
990636,103,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",8/4/21,TRUE
357858,104,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",9/4/21,TRUE
805215,105,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",10/4/21,TRUE
957313,106,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",11/4/21,TRUE
945516,107,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",12/4/21,TRUE
359856,108,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",13/4/21,TRUE
182197,109,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",14/4/21,TRUE
165439,110,"""New In""","""Covid19 Entry Requirements for Travellers to China""",15/4/21,TRUE
729202,111,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",16/4/21,TRUE
964887,112,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",17/4/21,TRUE
958015,113,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",18/4/21,TRUE
944879,114,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",19/4/21,TRUE
591606,115,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",20/4/21,TRUE
592865,116,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",21/4/21,TRUE
101450,117,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",22/4/21,TRUE
794466,118,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",23/4/21,TRUE
391635,119,"""New In""","""Covid19 Entry Requirements for Travellers to China""",24/4/21,TRUE
121450,120,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",25/4/21,TRUE
248075,121,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",26/4/21,TRUE
485306,122,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",27/4/21,TRUE
803812,123,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",28/4/21,TRUE
157709,124,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",29/4/21,TRUE
993418,125,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",30/4/21,TRUE
860672,126,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",1/5/21,TRUE
440763,127,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",2/5/21,TRUE
909473,128,"""New In""","""Covid19 Entry Requirements for Travellers to China""",3/5/21,TRUE
471546,129,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",4/5/21,TRUE
119555,130,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",5/5/21,TRUE
896178,131,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",6/5/21,TRUE
250850,132,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",7/5/21,TRUE
533612,133,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",8/5/21,TRUE
642159,134,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",9/5/21,TRUE
816617,135,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",10/5/21,TRUE
747078,136,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",11/5/21,TRUE
867021,137,"""New In""","""Covid19 Entry Requirements for Travellers to China""",12/5/21,TRUE
991215,138,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",13/5/21,TRUE
119617,139,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",14/5/21,TRUE
974115,140,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",15/5/21,TRUE
614876,141,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",16/5/21,TRUE
867585,142,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",17/5/21,TRUE
511638,143,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",18/5/21,TRUE
968095,144,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",19/5/21,TRUE
543749,145,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",20/5/21,TRUE
704070,146,"""New In""","""Covid19 Entry Requirements for Travellers to China""",21/5/21,TRUE
129244,147,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",22/5/21,TRUE
115465,148,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",23/5/21,TRUE
184834,149,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",24/5/21,TRUE
583998,150,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",25/5/21,TRUE
667792,151,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",26/5/21,TRUE
255639,152,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",27/5/21,TRUE
672690,153,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",28/5/21,TRUE
427161,154,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",29/5/21,TRUE
145587,155,"""New In""","""Covid19 Entry Requirements for Travellers to China""",30/5/21,TRUE
291620,156,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",31/5/21,TRUE
699428,157,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",1/6/21,TRUE
263271,158,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",2/6/21,TRUE
758941,159,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",3/6/21,TRUE
278276,160,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",4/6/21,TRUE
140074,161,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",5/6/21,TRUE
460928,162,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",6/6/21,TRUE
914498,163,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",7/6/21,TRUE
590863,164,"""New In""","""Covid19 Entry Requirements for Travellers to China""",8/6/21,TRUE
635329,165,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",9/6/21,TRUE
676636,166,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",10/6/21,TRUE
271534,167,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",11/6/21,TRUE
519475,168,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",12/6/21,TRUE
670580,169,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",13/6/21,TRUE
931749,170,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",14/6/21,TRUE
337622,171,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",15/6/21,TRUE
620977,172,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",16/6/21,TRUE
839037,173,"""New In""","""Covid19 Entry Requirements for Travellers to China""",17/6/21,TRUE
826200,174,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",18/6/21,TRUE
720626,175,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",19/6/21,TRUE
102028,176,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",20/6/21,TRUE
916699,177,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",21/6/21,TRUE
479302,178,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",22/6/21,TRUE
554294,179,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",23/6/21,TRUE
681755,180,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",24/6/21,TRUE
842831,181,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",25/6/21,TRUE
513611,182,"""New In""","""Covid19 Entry Requirements for Travellers to China""",26/6/21,TRUE
707882,183,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",27/6/21,TRUE
746321,184,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",28/6/21,TRUE
375339,185,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",29/6/21,TRUE
386399,186,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",30/6/21,TRUE
366627,187,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",1/7/21,TRUE
975078,188,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",2/7/21,TRUE
237710,189,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",3/7/21,TRUE
242771,190,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",4/7/21,TRUE
724895,191,"""New In""","""Covid19 Entry Requirements for Travellers to China""",5/7/21,TRUE
618023,192,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",6/7/21,TRUE
137088,193,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",7/7/21,TRUE
754586,194,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",8/7/21,TRUE
547214,195,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",9/7/21,TRUE
685117,196,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",10/7/21,TRUE
343320,197,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",11/7/21,TRUE
955197,198,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",12/7/21,TRUE
292745,199,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",13/7/21,TRUE
762531,200,"""New In""","""Covid19 Entry Requirements for Travellers to China""",14/7/21,TRUE
769238,201,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",15/7/21,TRUE
914681,202,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",16/7/21,TRUE
570889,203,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",17/7/21,TRUE
459821,204,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",18/7/21,TRUE
147177,205,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",19/7/21,TRUE
685577,206,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",20/7/21,TRUE
654479,207,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",21/7/21,TRUE
668715,208,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",22/7/21,TRUE
275092,209,"""New In""","""Covid19 Entry Requirements for Travellers to China""",23/7/21,TRUE
651814,210,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",24/7/21,TRUE
566690,211,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",25/7/21,TRUE
265341,212,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",26/7/21,TRUE
721542,213,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",27/7/21,TRUE
918716,214,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",28/7/21,TRUE
576476,215,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",29/7/21,TRUE
920686,216,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",30/7/21,TRUE
548075,217,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",31/7/21,TRUE
930480,218,"""New In""","""Covid19 Entry Requirements for Travellers to China""",1/8/21,TRUE
616005,219,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",2/8/21,TRUE
202756,220,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",3/8/21,TRUE
255802,221,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",4/8/21,TRUE
861956,222,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",5/8/21,TRUE
543687,223,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",6/8/21,TRUE
977768,224,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",7/8/21,TRUE
986544,225,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",8/8/21,TRUE
550288,226,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",9/8/21,TRUE
872676,227,"""New In""","""Covid19 Entry Requirements for Travellers to China""",10/8/21,TRUE
539850,228,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",11/8/21,TRUE
476735,229,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",12/8/21,TRUE
243464,230,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",13/8/21,TRUE
667971,231,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",14/8/21,TRUE
362382,232,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",15/8/21,TRUE
488908,233,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",16/8/21,TRUE
764084,234,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",17/8/21,TRUE
775435,235,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",18/8/21,TRUE
164653,236,"""New In""","""Covid19 Entry Requirements for Travellers to China""",19/8/21,TRUE
